"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\feedback.routes.js", "JavaScript", 14, 0, 0, 0, 4, 18
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\payment.routes.js", "JavaScript", 34, 0, 0, 0, 7, 41
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\registration.routes.js", "JavaScript", 35, 0, 0, 2, 5, 42
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\renewal.routes.js", "JavaScript", 26, 0, 0, 1, 5, 32
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\report.routes.js", "JavaScript", 25, 0, 0, 2, 5, 32
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\room.routes.js", "JavaScript", 17, 0, 0, 0, 4, 21
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\student.routes.js", "JavaScript", 24, 0, 0, 2, 5, 31
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\user.routes.js", "JavaScript", 17, 0, 0, 0, 4, 21
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\routes\waterInvoice.routes.js", "JavaScript", 18, 0, 0, 0, 4, 22
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\testInvoice.js", "JavaScript", 15, 0, 0, 1, 6, 22
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\utils\errorHandler.js", "JavaScript", 6, 0, 0, 0, 1, 7
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\utils\generateRegistrationCode.js", "JavaScript", 11, 0, 0, 0, 4, 15
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\utils\generateRegistrationPDF.js", "JavaScript", 111, 0, 0, 13, 26, 150
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\utils\generateRenewalPDF.js", "JavaScript", 117, 0, 0, 6, 25, 148
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\utils\registrationMailer.js", "JavaScript", 16, 0, 0, 0, 3, 19
"Total", "-", 4096, 2058, 1, 191, 754, 7100
